GID_0,fueltype,CO2,CH4,N2O,units are tCO2e/ton (and tCO2e/MWh for electricity),,,,,,,
DOM,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
ECU,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
ECU,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
ECU,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
ECU,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
ECU,Electricity,0.316215472,0.000000000,0.000000000,,,,,,,,
ECU,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
ECU,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
ECU,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
ECU,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
ECU,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
ECU,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
ERI,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
ERI,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
ERI,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
ERI,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
ERI,Electricity,0.794336814,0.034626436,0.002149681,,,,,,,,
ERI,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
ERI,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
ERI,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
ERI,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
ERI,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
ERI,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
ETH,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
ETH,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
ETH,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
ETH,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
ETH,Electricity,0.000167748,0.000062548,0.000005054,,,,,,,,
ETH,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
ETH,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
ETH,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
ETH,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
ETH,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
ETH,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GAB,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GAB,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GAB,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GAB,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GAB,Electricity,0.680971624,0.000000000,0.000000000,,,,,,,,
GAB,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GAB,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GAB,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GAB,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GAB,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GAB,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GHA,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GHA,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GHA,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GHA,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GHA,Electricity,0.338325434,0.014933643,0.000676513,,,,,,,,
GHA,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GHA,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GHA,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GHA,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GHA,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GHA,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GIN,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GIN,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GIN,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GIN,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
GIN,Electricity,0.513508522,0.020819527,0.001324384,,,,,,,,
GIN,Ethanol,0.000000000,0.491610600,0.346437000,,,,,,,,
GIN,Gas,3.724875000,0.156897000,0.002457000,,,,,,,,
GIN,Imp_biomass,1.520808000,0.276782400,0.000000000,,,,,,,,
GIN,Imp_charcoal,5.846121255,2.591717346,0.106470000,,,,,,,,
GIN,Kerosene,3.436973230,0.136712566,0.001655199,,,,,,,,
GIN,Pellets,0.000000000,0.046204960,0.007098000,,,,,,,,
GMB,biogas,0.000000000,1.817949000,0.025935000,,,,,,,,
GMB,Biomass,1.520808000,0.250776000,0.000000000,,,,,,,,
GMB,Charcoal,5.846121255,2.348200280,0.106470000,,,,,,,,
GMB,Coal,2.023271360,0.247963654,0.000000000,,,,,,,,
