iso3;country;region;area;fuel;year;fuel_tons1;fuel_tons2;fuel_tons3;;Includes corrections of previous error in charcoal demand;;;;;Residential fuel mass in Mton (GWh for elec);;;;;;;;;;;;;;;;Plots for presentation;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2018;2783;2783;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2019;3561;3561;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2020;4402;4402;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2021;5309;5309;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2022;6285;6285;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2023;7333;7333;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2024;8456;8456;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2025;9593;9593;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2026;10805;10805;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2027;12095;12095;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2028;13465;13465;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2029;14916;14916;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2030;16452;16452;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2031;18072;18072;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MWI;Malawi;ssa;Urban;Imp_charcoal;2032;19781;19781;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
