Key*,LULC,rmax,rmaxSD,K,KSD,TOF
310,LATAM_Temperate oceanic forest_Open Shrublands,0.11,0.02,172,16,0
311,LATAM_Temperate oceanic forest_Woody Savannas,0.11,0.02,187,23,0
312,LATAM_Temperate oceanic forest_Savannas,0.11,0.02,183,26,0
313,LATAM_Temperate oceanic forest_Grasslands,0.1,0.02,195,25,0
314,LATAM_Temperate oceanic forest_Permanent Wetlands,0.09,0.02,219,27,0
315,LATAM_Temperate oceanic forest_Urban and Built-up Lands,0,0,102,65,1
316,LATAM_Temperate oceanic forest_Permanent Snow and Ice,0,0,33,37,1
317,LATAM_Temperate oceanic forest_Barren,0,0,29,36,1
318,LATAM_Temperate oceanic forest_Water Bodies,0,0,60,54,1
319,LATAM_Temperate steppe_Evergreen Needleleaf Forests,0.03,0,226,13,0
320,LATAM_Temperate steppe_Evergreen Broadleaf Forests,0,0,144,1,1
321,LATAM_Temperate steppe_Deciduous Broadleaf Forests,0.03,0,182,12,0
322,LATAM_Temperate steppe_Mixed Forests,0.02,0,240,21,0
323,LATAM_Temperate steppe_Closed Shrublands,0.95,0.07,6,14,0
324,LATAM_Temperate steppe_Open Shrublands,0,0,1,2,1
325,LATAM_Temperate steppe_Woody Savannas,0.03,0,182,14,0
326,LATAM_Temperate steppe_Savannas,0.04,0,145,23,0
327,LATAM_Temperate steppe_Grasslands,0.13,0.01,43,36,0
328,LATAM_Temperate steppe_Permanent Wetlands,0.04,0,160,30,0
329,LATAM_Temperate steppe_Croplands,0,0,3,1,1
330,LATAM_Temperate steppe_Urban and Built-up Lands,0,0,5,16,1
331,LATAM_Temperate steppe_Permanent Snow and Ice,0,0,10,15,1
332,LATAM_Temperate steppe_Barren,0,0,2,6,1
333,LATAM_Temperate steppe_Water Bodies,0,0,23,37,1
334,LATAM_Temperate mountain system_Evergreen Needleleaf Forests,0.03,0,249,16,0
335,LATAM_Temperate mountain system_Evergreen Broadleaf Forests,0.03,0,245,13,0
336,LATAM_Temperate mountain system_Deciduous Broadleaf Forests,0.03,0,254,21,0
