Key*,LULC,rmax,rmaxSD,K,KSD,TOF
291,LATAM_Subtropical desert_Closed forest evergreen needle leaf,0.02,0.01,78,14,0
292,LATAM_Subtropical desert_Closed forest evergreen broad leaf,0.02,0.01,87,0,0
293,LATAM_Subtropical desert_Closed forest deciduous broad leaf,0.02,0.01,84,8,0
294,LATAM_Subtropical desert_Closed forest mixed,0.02,0.01,82,6,0
295,LATAM_Subtropical desert_Closed forest undefined,0.02,0.01,79,7,0
296,LATAM_Subtropical desert_Open forest evergreen needle leaf,0.02,0.01,66,6,0
297,LATAM_Subtropical desert_Open forest evergreen broad leaf,0.02,0.01,88,0,0
298,LATAM_Subtropical desert_Open forest deciduous broad leaf,0.02,0.01,63,14,0
299,LATAM_Subtropical desert_Open forest mixed,0.02,0.01,31,0,0
300,LATAM_Subtropical desert_Open forest undefined,0.02,0.01,72,12,0
301,LATAM_Subtropical desert_Oceans seas,0,0,10,10,1
302,LATAM_Subtropical mountain system_Shrubs,0.23,0.2,44,11,0
303,LATAM_Subtropical mountain system_Herbaceous vegetation,0.31,0.28,32,15,0
304,LATAM_Subtropical mountain system_Agriculture,0.19,0.17,53,16,0
305,LATAM_Subtropical mountain system_Urban built up,0,0,2,2,1
306,LATAM_Subtropical mountain system_Bare sparse vegetation,0,0,0.0097,0.0049,1
307,LATAM_Subtropical mountain system_Snow and ice,0,0,0,0,1
308,LATAM_Subtropical mountain system_Permanent water bodies,0,0,10,10,1
309,LATAM_Subtropical mountain system_Herbaceous wetland,0.18,0.16,57,11,0
310,LATAM_Subtropical mountain system_Closed forest evergreen needle leaf,0.09,0.08,107,23,0
311,LATAM_Subtropical mountain system_Closed forest evergreen broad leaf,0.06,0.06,154,18,0
312,LATAM_Subtropical mountain system_Closed forest deciduous broad leaf,0.12,0.11,84,11,0
313,LATAM_Subtropical mountain system_Closed forest mixed,0.08,0.07,124,15,0
314,LATAM_Subtropical mountain system_Closed forest undefined,0.11,0.1,93,13,0
315,LATAM_Subtropical mountain system_Open forest evergreen needle leaf,0.13,0.12,77,10,0
316,LATAM_Subtropical mountain system_Open forest evergreen broad leaf,0.07,0.07,135,13,0
317,LATAM_Subtropical mountain system_Open forest deciduous broad leaf,0.14,0.13,69,9,0
318,LATAM_Subtropical mountain system_Open forest mixed,0.14,0.13,69,8,0
319,LATAM_Subtropical mountain system_Open forest undefined,0.13,0.12,75,13,0
320,LATAM_Subtropical mountain system_Oceans seas,0,0,10,10,1
321,LATAM_Temperate oceanic forest_Shrubs,0.26,0.01,76,17,0
322,LATAM_Temperate oceanic forest_Herbaceous vegetation,0.21,0.01,95,43,0
323,LATAM_Temperate oceanic forest_Agriculture,0.2,0.01,100,9,0
324,LATAM_Temperate oceanic forest_Urban built up,0,0,2,2,1
325,LATAM_Temperate oceanic forest_Bare sparse vegetation,0,0,0.0931,0.0466,1
326,LATAM_Temperate oceanic forest_Snow and ice,0,0,0,0,1
327,LATAM_Temperate oceanic forest_Permanent water bodies,0,0,10,10,1
328,LATAM_Temperate oceanic forest_Herbaceous wetland,0.19,0.01,106,13,0
329,LATAM_Temperate oceanic forest_Closed forest evergreen broad leaf,0.11,0.01,182,49,0
330,LATAM_Temperate oceanic forest_Closed forest deciduous broad leaf,0.11,0.01,185,64,0
331,LATAM_Temperate oceanic forest_Closed forest mixed,0.1,0.01,191,1,0
332,LATAM_Temperate oceanic forest_Closed forest undefined,0.13,0.01,150,40,0
333,LATAM_Temperate oceanic forest_Open forest evergreen broad leaf,0.21,0.01,93,0,0
334,LATAM_Temperate oceanic forest_Open forest deciduous broad leaf,0.18,0.01,112,23,0
335,LATAM_Temperate oceanic forest_Open forest undefined,0.2,0.01,101,19,0
336,LATAM_Temperate oceanic forest_Oceans seas,0,0,10,10,1
337,LATAM_Temperate steppe_Shrubs,0.44,0.02,13,11,0
338,LATAM_Temperate steppe_Herbaceous vegetation,0.3,0.01,19,16,0
339,LATAM_Temperate steppe_Agriculture,0.17,0.01,34,19,0
340,LATAM_Temperate steppe_Urban built up,0,0,2,2,1
341,LATAM_Temperate steppe_Bare sparse vegetation,0,0,0.0075,0.0037,1
342,LATAM_Temperate steppe_Snow and ice,0,0,0,0,1
343,LATAM_Temperate steppe_Permanent water bodies,0,0,10,10,1
344,LATAM_Temperate steppe_Herbaceous wetland,0.15,0.01,38,21,0
345,LATAM_Temperate steppe_Closed forest evergreen broad leaf,0.04,0,144,18,0
346,LATAM_Temperate steppe_Closed forest deciduous broad leaf,0.03,0,170,14,0
347,LATAM_Temperate steppe_Closed forest mixed,0.03,0,172,0,0
348,LATAM_Temperate steppe_Closed forest undefined,0.06,0,102,19,0
349,LATAM_Temperate steppe_Open forest evergreen broad leaf,0.07,0,79,0,0
350,LATAM_Temperate steppe_Open forest deciduous broad leaf,0.08,0,74,8,0
351,LATAM_Temperate steppe_Open forest undefined,0.07,0,81,17,0
352,LATAM_Temperate steppe_Oceans seas,0,0,10,10,1
353,LATAM_Temperate mountain system_Shrubs,0.12,0,72,21,0
354,LATAM_Temperate mountain system_Herbaceous vegetation,0.11,0,73,19,0
355,LATAM_Temperate mountain system_Agriculture,0.09,0,96,14,0
356,LATAM_Temperate mountain system_Urban built up,0,0,2,2,1
357,LATAM_Temperate mountain system_Bare sparse vegetation,0,0,0.0269,0.0134,1
358,LATAM_Temperate mountain system_Snow and ice,0,0,0,0,1
