Key*,LULC,rmax,rmaxSD,K,KSD,TOF
373,LATAM_Water_Open forest evergreen broad leaf,0,0,74,40,1
374,LATAM_Water_Open forest deciduous broad leaf,0,0,16,1,1
375,LATAM_Water_Open forest undefined,0,0,54,33,1
376,LATAM_Water_Oceans seas,0,0,44,42,1
377,ASIA_Tropical rainforest_No Data,0,0,191,42,1
378,ASIA_Tropical rainforest_Shrubs,0.09,0.11,144,17,0
379,ASIA_Tropical rainforest_Herbaceous vegetation,0,0,73,72,1
380,ASIA_Tropical rainforest_Agriculture,0,0,28,31,1
381,ASIA_Tropical rainforest_Urban built up,0,0,38,34,1
382,ASIA_Tropical rainforest_Bare sparse vegetation,0,0,16,36,1
383,ASIA_Tropical rainforest_Permanent water bodies,0,0,72,69,1
384,ASIA_Tropical rainforest_Herbaceous wetland,0,0,47,53,1
385,ASIA_Tropical rainforest_Closed forest evergreen needle leaf,0.07,0.08,198,20,0
386,ASIA_Tropical rainforest_Closed forest evergreen broad leaf,0.04,0.05,322,25,0
387,ASIA_Tropical rainforest_Closed forest deciduous broad leaf,0.08,0.09,178,18,0
388,ASIA_Tropical rainforest_Closed forest mixed,0.1,0.11,139,6,0
389,ASIA_Tropical rainforest_Closed forest undefined,0.05,0.05,300,29,0
390,ASIA_Tropical rainforest_Open forest evergreen needle leaf,0.1,0.11,136,7,0
391,ASIA_Tropical rainforest_Open forest evergreen broad leaf,0.07,0.08,191,42,0
392,ASIA_Tropical rainforest_Open forest deciduous broad leaf,0.15,0.18,89,14,0
393,ASIA_Tropical rainforest_Open forest undefined,0.05,0.06,248,38,0
394,ASIA_Tropical rainforest_Oceans seas,0,0,66,54,1
395,ASIA_Tropical moist forest_Shrubs,0.11,0.04,85,24,0
396,ASIA_Tropical moist forest_Herbaceous vegetation,0,0,24,31,1
397,ASIA_Tropical moist forest_Agriculture,0,0,14,21,1
398,ASIA_Tropical moist forest_Urban built up,0,0,13,16,1
399,ASIA_Tropical moist forest_Bare sparse vegetation,0,0,6,12,1
400,ASIA_Tropical moist forest_Permanent water bodies,0,0,24,30,1
401,ASIA_Tropical moist forest_Herbaceous wetland,0,0,39,35,1
